Refs,value,Vendor,Vendor Part #,Price,datasheet,footprint
R12,27Ω,Mouser,603-RC1210FR-0727RL,0.14,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_10-1664068.pdf,Resistor_SMD:R_1206_3216Metric
R15,330Ω,Mouser,667-ERJ-8ENF3300V,0.10,https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf,Resistor_SMD:R_1206_3216Metric
R25,330Ω,Mouser,667-ERJ-8ENF3300V,0.10,https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf,Resistor_SMD:R_1206_3216Metric
R35,330Ω,Mouser,667-ERJ-8ENF3300V,0.10,https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf,Resistor_SMD:R_1206_3216Metric
R45,330Ω,Mouser,667-ERJ-8ENF3300V,0.10,https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf,Resistor_SMD:R_1206_3216Metric
TP1,GND,-,-,0,-,TestPoint:TestPoint_Pad_D2.0mm
TP2,5V,-,-,0,-,TestPoint:TestPoint_Pad_D2.0mm
TP3,5VA,-,-,0,-,TestPoint:TestPoint_Pad_D2.0mm
TP4,5VB,-,-,0,-,TestPoint:TestPoint_Pad_D2.0mm
TP5,5VC,-,-,0,-,TestPoint:TestPoint_Pad_D2.0mm
TP6,SUSPND,-,-,0,-,TestPoint:TestPoint_Pad_D2.0mm
TP7,3V3,-,-,0,-,TestPoint:TestPoint_Pad_D2.0mm
